number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-SSOR
unsuccessful step! iteration = 193 , error before = 57105.663693 , error next = 57601.299959 , error change = -495.636266 , lambda = 2.000000 , time consumption = 0.464618s

successful step! iteration = 194 , error before = 57105.663693 , error next = 56715.918121 , error change = 389.745572 , lambda = 0.200000 , time consumption = 0.467971s

unsuccessful step! iteration = 195 , error before = 56715.918121 , error next = 57206.757561 , error change = -490.839440 , lambda = 2.000000 , time consumption = 0.463745s

successful step! iteration = 196 , error before = 56715.918121 , error next = 56329.938449 , error change = 385.979672 , lambda = 0.200000 , time consumption = 0.459456s

unsuccessful step! iteration = 197 , error before = 56329.938449 , error next = 56816.031628 , error change = -486.093180 , lambda = 2.000000 , time consumption = 0.456302s

successful step! iteration = 198 , error before = 56329.938449 , error next = 55947.685991 , error change = 382.252458 , lambda = 0.200000 , time consumption = 0.457397s

unsuccessful step! iteration = 199 , error before = 55947.685991 , error next = 56429.082175 , error change = -481.396184 , lambda = 2.000000 , time consumption = 0.457889s

successful step! iteration = 200 , error before = 55947.685991 , error next = 55569.122977 , error change = 378.563013 , lambda = 0.200000 , time consumption = 0.454857s

unsuccessful step! iteration = 201 , error before = 55569.122977 , error next = 56045.870223 , error change = -476.747246 , lambda = 2.000000 , time consumption = 0.457624s

successful step! iteration = 202 , error before = 55569.122977 , error next = 55194.212493 , error change = 374.910484 , lambda = 0.200000 , time consumption = 0.457644s

unsuccessful step! iteration = 203 , error before = 55194.212493 , error next = 55666.357735 , error change = -472.145242 , lambda = 2.000000 , time consumption = 0.459549s

successful step! iteration = 204 , error before = 55194.212493 , error next = 54822.918418 , error change = 371.294075 , lambda = 0.200000 , time consumption = 0.466085s

unsuccessful step! iteration = 205 , error before = 54822.918418 , error next = 55290.507544 , error change = -467.589126 , lambda = 2.000000 , time consumption = 0.461545s

successful step! iteration = 206 , error before = 54822.918418 , error next = 54455.205376 , error change = 367.713042 , lambda = 0.200000 , time consumption = 0.463002s

unsuccessful step! iteration = 207 , error before = 54455.205376 , error next = 54918.283298 , error change = -463.077922 , lambda = 2.000000 , time consumption = 0.462980s

successful step! iteration = 208 , error before = 54455.205376 , error next = 54091.038684 , error change = 364.166692 , lambda = 0.200000 , time consumption = 0.464818s

unsuccessful step! iteration = 209 , error before = 54091.038684 , error next = 54549.649403 , error change = -458.610719 , lambda = 2.000000 , time consumption = 0.454833s

successful step! iteration = 210 , error before = 54091.038684 , error next = 53730.384311 , error change = 360.654373 , lambda = 0.200000 , time consumption = 0.458277s

unsuccessful step! iteration = 211 , error before = 53730.384311 , error next = 54184.570975 , error change = -454.186664 , lambda = 2.000000 , time consumption = 0.462413s

successful step! iteration = 212 , error before = 53730.384311 , error next = 53373.208835 , error change = 357.175476 , lambda = 0.200000 , time consumption = 0.462312s

unsuccessful step! iteration = 213 , error before = 53373.208835 , error next = 53823.013794 , error change = -449.804958 , lambda = 2.000000 , time consumption = 0.454365s

successful step! iteration = 214 , error before = 53373.208835 , error next = 53019.479409 , error change = 353.729427 , lambda = 0.200000 , time consumption = 0.456229s

unsuccessful step! iteration = 215 , error before = 53019.479409 , error next = 53464.944262 , error change = -445.464853 , lambda = 2.000000 , time consumption = 0.509683s

successful step! iteration = 216 , error before = 53019.479409 , error next = 52669.163722 , error change = 350.315687 , lambda = 0.200000 , time consumption = 0.465832s

unsuccessful step! iteration = 217 , error before = 52669.163722 , error next = 53110.329366 , error change = -441.165644 , lambda = 2.000000 , time consumption = 0.475757s

successful step! iteration = 218 , error before = 52669.163722 , error next = 52322.229975 , error change = 346.933747 , lambda = 0.200000 , time consumption = 0.475758s

unsuccessful step! iteration = 219 , error before = 52322.229975 , error next = 52759.136643 , error change = -436.906668 , lambda = 2.000000 , time consumption = 0.472783s

successful step! iteration = 220 , error before = 52322.229975 , error next = 51978.646848 , error change = 343.583127 , lambda = 0.200000 , time consumption = 0.473595s

unsuccessful step! iteration = 221 , error before = 51978.646848 , error next = 52411.334148 , error change = -432.687300 , lambda = 2.000000 , time consumption = 0.469570s

successful step! iteration = 222 , error before = 51978.646848 , error next = 51638.383474 , error change = 340.263374 , lambda = 0.200000 , time consumption = 0.474494s

unsuccessful step! iteration = 223 , error before = 51638.383474 , error next = 52066.890422 , error change = -428.506948 , lambda = 2.000000 , time consumption = 0.470044s

successful step! iteration = 224 , error before = 51638.383474 , error next = 51301.409417 , error change = 336.974056 , lambda = 0.200000 , time consumption = 0.471357s

unsuccessful step! iteration = 225 , error before = 51301.409417 , error next = 51725.774472 , error change = -424.365055 , lambda = 2.000000 , time consumption = 0.473728s

successful step! iteration = 226 , error before = 51301.409417 , error next = 50967.694652 , error change = 333.714766 , lambda = 0.200000 , time consumption = 0.475196s

unsuccessful step! iteration = 227 , error before = 50967.694652 , error next = 51387.955741 , error change = -420.261089 , lambda = 2.000000 , time consumption = 0.495327s

successful step! iteration = 228 , error before = 50967.694652 , error next = 50637.209539 , error change = 330.485113 , lambda = 0.200000 , time consumption = 0.476207s

unsuccessful step! iteration = 229 , error before = 50637.209539 , error next = 51053.404086 , error change = -416.194547 , lambda = 2.000000 , time consumption = 0.471956s

successful step! iteration = 230 , error before = 50637.209539 , error next = 50309.924811 , error change = 327.284728 , lambda = 0.200000 , time consumption = 0.478387s

unsuccessful step! iteration = 231 , error before = 50309.924811 , error next = 50722.089761 , error change = -412.164950 , lambda = 2.000000 , time consumption = 0.469420s

successful step! iteration = 232 , error before = 50309.924811 , error next = 49985.811555 , error change = 324.113256 , lambda = 0.200000 , time consumption = 0.472290s

unsuccessful step! iteration = 233 , error before = 49985.811555 , error next = 50393.983395 , error change = -408.171840 , lambda = 2.000000 , time consumption = 0.472190s

successful step! iteration = 234 , error before = 49985.811555 , error next = 49664.841196 , error change = 320.970359 , lambda = 0.200000 , time consumption = 0.477378s

unsuccessful step! iteration = 235 , error before = 49664.841196 , error next = 50069.055977 , error change = -404.214781 , lambda = 2.000000 , time consumption = 0.467690s

successful step! iteration = 236 , error before = 49664.841196 , error next = 49346.985483 , error change = 317.855713 , lambda = 0.200000 , time consumption = 0.485541s

unsuccessful step! iteration = 237 , error before = 49346.985483 , error next = 49747.278837 , error change = -400.293354 , lambda = 2.000000 , time consumption = 0.459584s

successful step! iteration = 238 , error before = 49346.985483 , error next = 49032.216477 , error change = 314.769006 , lambda = 0.200000 , time consumption = 0.471233s

unsuccessful step! iteration = 239 , error before = 49032.216477 , error next = 49428.623636 , error change = -396.407159 , lambda = 2.000000 , time consumption = 0.467338s

successful step! iteration = 240 , error before = 49032.216477 , error next = 48720.506539 , error change = 311.709938 , lambda = 0.200000 , time consumption = 0.461058s

unsuccessful step! iteration = 241 , error before = 48720.506539 , error next = 49113.062350 , error change = -392.555811 , lambda = 2.000000 , time consumption = 0.460038s

successful step! iteration = 242 , error before = 48720.506539 , error next = 48411.828320 , error change = 308.678220 , lambda = 0.200000 , time consumption = 0.468979s

unsuccessful step! iteration = 243 , error before = 48411.828320 , error next = 48800.567257 , error change = -388.738938 , lambda = 2.000000 , time consumption = 0.460337s

successful step! iteration = 244 , error before = 48411.828320 , error next = 48106.154746 , error change = 305.673573 , lambda = 0.200000 , time consumption = 0.475947s

unsuccessful step! iteration = 245 , error before = 48106.154746 , error next = 48491.110929 , error change = -384.956183 , lambda = 2.000000 , time consumption = 0.455245s

successful step! iteration = 246 , error before = 48106.154746 , error next = 47803.459017 , error change = 302.695729 , lambda = 0.200000 , time consumption = 0.454503s

unsuccessful step! iteration = 247 , error before = 47803.459017 , error next = 48184.666219 , error change = -381.207202 , lambda = 2.000000 , time consumption = 0.456337s

successful step! iteration = 248 , error before = 47803.459017 , error next = 47503.714593 , error change = 299.744425 , lambda = 0.200000 , time consumption = 0.456462s

unsuccessful step! iteration = 249 , error before = 47503.714593 , error next = 47881.206252 , error change = -377.491659 , lambda = 2.000000 , time consumption = 0.458018s

successful step! iteration = 250 , error before = 47503.714593 , error next = 47206.895185 , error change = 296.819408 , lambda = 0.200000 , time consumption = 0.454744s

unsuccessful step! iteration = 251 , error before = 47206.895185 , error next = 47580.704416 , error change = -373.809231 , lambda = 2.000000 , time consumption = 0.454345s

successful step! iteration = 252 , error before = 47206.895185 , error next = 46912.974754 , error change = 293.920431 , lambda = 0.200000 , time consumption = 0.455457s

unsuccessful step! iteration = 253 , error before = 46912.974754 , error next = 47283.134358 , error change = -370.159604 , lambda = 2.000000 , time consumption = 0.473516s

successful step! iteration = 254 , error before = 46912.974754 , error next = 46621.927498 , error change = 291.047256 , lambda = 0.200000 , time consumption = 0.460449s

unsuccessful step! iteration = 255 , error before = 46621.927498 , error next = 46988.469971 , error change = -366.542473 , lambda = 2.000000 , time consumption = 0.463991s

successful step! iteration = 256 , error before = 46621.927498 , error next = 46333.727849 , error change = 288.199649 , lambda = 0.200000 , time consumption = 0.454961s

unsuccessful step! iteration = 257 , error before = 46333.727849 , error next = 46696.685389 , error change = -362.957540 , lambda = 2.000000 , time consumption = 0.472625s

successful step! iteration = 258 , error before = 46333.727849 , error next = 46048.350469 , error change = 285.377381 , lambda = 0.200000 , time consumption = 0.465367s

unsuccessful step! iteration = 259 , error before = 46048.350469 , error next = 46407.754983 , error change = -359.404514 , lambda = 2.000000 , time consumption = 0.463718s
